study,1+1 prior,In- and exclusion priors,difference
Appenzeller-Herzog_2019 IEC_clean,0.055,0.061,0.006
Bos _2018 IEC_clean,0.012,0.015,0.003
Brouwer_2019 IEC_clean,0.008,0.008,-0.0
Chou_2003 IEC_clean,0.116,0.116,0.001
Chou_2004 IEC_clean,0.351,0.23,-0.121
Hall_2012 IEC_clean,0.008,0.008,-0.0
Jeyaraman_2020 IEC_clean,0.109,0.111,0.002
Leenaars_2019 IEC_clean,0.004,0.003,-0.001
Leenaars_2020 IEC_clean,0.112,0.115,0.004
Meijboom_2021 IEC_clean,0.085,0.076,-0.01
Menon_2022 IEC_clean,0.114,0.094,-0.02
Moran_2021 IEC_clean,0.36,0.379,0.02
Muthu_2021 IEC_clean,0.188,0.192,0.004
Nelson_2002 IEC_clean,0.162,0.164,0.002
Oud_2018 IEC_clean,0.078,0.069,-0.009
Radjenovic_2013 IEC_clean,0.025,0.025,0.0
Sep_2021 IEC_clean,0.275,0.28,0.005
Smid_2020 IEC_clean,0.042,0.037,-0.005
van_der_Waal_2022 IEC_clean,0.054,0.056,0.002
van_de_Schoot_2017 IEC_clean,0.016,0.027,0.011
van_de_Valk_2021 IEC_clean,0.178,0.169,-0.009
van_Dis_2020 IEC_clean,0.074,0.072,-0.003
Walker_2018 IEC_clean,0.081,0.079,-0.002
Wassenaar_2017 IEC_clean,0.032,0.029,-0.002
Wolters_2018 IEC_clean,0.034,0.036,0.002
